"metabolite","AIC","Estimate","Std. Error","z value","Pr(>|z|)","qOrFDR"
"X138.055_0.31","-917.109117489442","0.000211113988326211","0.000182867216155602","1.15446602602937","0.248309159416886",0.46720852112883
"X249.1555_0.31","-574.60041677762","0.000200319744793698","0.000125766539595732","1.59279046269073","0.111207205395049",0.316403059437449
"X534.3191_5.54","-683.686873445796","-0.00033078123945162","0.000234273795168962","-1.41194297558144","0.157966752408236",0.369477980204411
"X560.2299_3.18","-639.741609076639","0.000199274273470138","7.77857594414521e-05","2.56183490269999","0.010412080095264",0.107676145375413
"X420.4241_3.18","-568.094113243894","0.000161656425793415","8.02565025222291e-05","2.01424707921505","0.043983599075216",0.189430402362649
"X536.3348_5.5","-625.250604153142","-0.000162959847034092","0.000180282682795595","-0.90391292445352","0.366041575353611",0.576957724720933
"X170.0326_0.29","-840.950559219507","-0.00011304194823659","0.000143437184319346","-0.788093748305294","0.430641871727205",0.636089391349694
"X248.149_0.44","-839.804946782574","-0.000451826398210294","0.000155506582773075","-2.90551300242786","0.00366651615082142",0.0834376889303146
"X770.3433_3.22","-364.1506522946","-0.000438707401464893","0.000191831693718566","-2.28693910250573","0.0221993778483274",0.1442916332954
"X258.1098_0.31","-723.378970316295","0.000602554912612702","0.000421050009474211","1.43107682948433","0.152408197104143",0.365090822441563
"X291.0697_0.5","-543.783031615907","0.00038050783585079","0.000139908394525558","2.71969267563342","0.00653426146046092",0.0893718341688848
"X262.1646_0.54","-620.090271077178","-0.000137651252363415","4.73290573506567e-05","-2.90838778688469","0.00363297530772023",0.0834376889303146
"X311.2213_6.24","-511.321010131828","-0.000278927638151869","0.000130720471431944","-2.1337716663383","0.0328614763074458",0.172015629066136
"X247.2013_0.31","-515.096617122585","-0.000244388595160992","0.000177856553332099","-1.3740769771056","0.169417786069451",0.384031609572858
"X295.2264_6.01","-582.369004603867","-0.000839992838059016","0.000766585608527366","-1.09575868463363","0.273184393395394",0.480757862135519
"X155.0597_3.71","-887.492755452087","0.000133469523116912","7.64578529219214e-05","1.74566140711812","0.0808698049497515",0.265804630222439
"X335.219_5.76","-610.80906785959","-1.22613566912629e-05","9.37602950314631e-05","-0.130773443995119","0.895954531178144",0.922050294222168
"X335.2189_5.85","-506.175793381165","-0.00027470683629253","0.000193032729096921","-1.42311015120447","0.15470422608687",0.366450233859402
"X669.709_4.12","-994.748365624414","-8.40299462486991e-05","4.42382814970512e-05","-1.899484867067","0.0575007544567246",0.219902136451694
"X205.0682_0.28","-384.644169847419","0.00034964051099183","0.000524318838170303","0.666847127240284","0.504869786488992",0.688311220165057
"X538.387_8.16","-663.682666092381","0.000158272583826258","0.000222997933798995","0.709749104531708","0.477859735477555",0.674796895473797
"X293.2107_6.24","-517.717146457986","-0.000195593590020071","0.000100270882800606","-1.95065191965068","0.0510984664969516",0.206340474235309
